circuit_type,mitigated,query_name,shots,row_index,column_index,win_probability,row_product_expectation,column_product_expectation,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-low,False,R1C1,8192,1,1,0.9036865234375,1.0,-1.0,0.9034178262684694,0.0963134765624993,0.9036865234375,0.0963134765625,{}
contextuality-low,False,R1C2,8192,1,2,0.7781982421875,1.0,-1.0,0.7780592826100754,0.22180175781249928,0.7781982421875,0.2218017578125,{}
contextuality-low,False,R1C3,8192,1,3,0.7919921875,1.0,-1.0,0.7912462339621809,0.20800781249999928,0.7919921875,0.2080078125,{}
contextuality-low,False,R2C1,8192,2,1,0.793701171875,1.0,-1.0,0.7930967658263769,0.2062988281249993,0.793701171875,0.206298828125,{}
contextuality-low,False,R2C2,8192,2,2,0.75048828125,1.0,-1.0,0.7497757123405518,0.24951171874999928,0.75048828125,0.24951171875,{}
contextuality-low,False,R2C3,8192,2,3,0.7835693359375,1.0,-1.0,0.7832203131056623,0.21643066406249928,0.7835693359375,0.2164306640625,{}
contextuality-low,False,R3C1,8192,3,1,0.8135986328125,1.0,-1.0,0.8127658769051517,0.1864013671874991,0.8135986328125,0.1864013671875,{}
contextuality-low,False,R3C2,8192,3,2,0.7584228515625,1.0,-1.0,0.7579953275923027,0.2415771484374991,0.7584228515625,0.2415771484375,{}
contextuality-low,False,R3C3,8192,3,3,0.7813720703125,1.0,-1.0,0.7812640437900692,0.2186279296874991,0.7813720703125,0.2186279296875,{}
contextuality-medium,False,R1C1,8192,1,1,0.90283203125,1.0,-1.0,0.902645638553123,0.09716796874999964,0.90283203125,0.09716796875,{}
contextuality-medium,False,R1C2,8192,1,2,0.7972412109375,1.0,-1.0,0.7970251788368916,0.20275878906249967,0.7972412109375,0.2027587890625,{}
contextuality-medium,False,R1C3,8192,1,3,0.80322265625,1.0,-1.0,0.8029554202754544,0.19677734374999964,0.80322265625,0.19677734375,{}
contextuality-medium,False,R2C1,8192,2,1,0.8231201171875,1.0,-1.0,0.8229070900832627,0.17687988281249964,0.8231201171875,0.1768798828125,{}
contextuality-medium,False,R2C2,8192,2,2,0.7791748046875,1.0,-1.0,0.7787767597078199,0.22082519531249967,0.7791748046875,0.2208251953125,{}
contextuality-medium,False,R2C3,8192,2,3,0.7916259765625,1.0,-1.0,0.7911887912816123,0.20837402343749964,0.7916259765625,0.2083740234375,{}
contextuality-medium,False,R3C1,8192,3,1,0.80859375,1.0,-1.0,0.8080537167326527,0.1914062499999995,0.80859375,0.19140625,{}
contextuality-medium,False,R3C2,8192,3,2,0.7598876953125,1.0,-1.0,0.7592229935940913,0.2401123046874995,0.7598876953125,0.2401123046875,{}
contextuality-medium,False,R3C3,8192,3,3,0.7864990234375,1.0,-1.0,0.7864166664935145,0.2135009765624995,0.7864990234375,0.2135009765625,{}
contextuality-high,False,R1C1,8192,1,1,0.91162109375,1.0,-1.0,0.911016694881411,0.08837890624999982,0.91162109375,0.08837890625,{}
contextuality-high,False,R1C2,8192,1,2,0.7984619140625,1.0,-1.0,0.7978615625259061,0.20153808593749978,0.7984619140625,0.2015380859375,{}
contextuality-high,False,R1C3,8192,1,3,0.814697265625,1.0,-1.0,0.8139911397024296,0.18530273437499978,0.814697265625,0.185302734375,{}
contextuality-high,False,R2C1,8192,2,1,0.79931640625,1.0,-1.0,0.7989296374785814,0.2006835937499998,0.79931640625,0.20068359375,{}
contextuality-high,False,R2C2,8192,2,2,0.7684326171875,1.0,-1.0,0.7681803635989402,0.23156738281249978,0.7684326171875,0.2315673828125,{}
contextuality-high,False,R2C3,8192,2,3,0.802001953125,1.0,-1.0,0.8015514080464484,0.19799804687499978,0.802001953125,0.197998046875,{}
