circuit_type,preservation_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,8192,1,1,0.907470703125,0.9071646164568601,0.0925292968749993,0.907470703125,0.092529296875,{}
contextuality-preserving,low,False,R1C2,8192,1,2,0.7774658203125,0.7771796008239557,0.22253417968749928,0.7774658203125,0.2225341796875,{}
contextuality-preserving,low,False,R1C3,8192,1,3,0.7833251953125,0.7822173407794032,0.21667480468749928,0.7833251953125,0.2166748046875,{}
contextuality-preserving,low,False,R2C1,8192,2,1,0.7760009765625,0.7757696669287653,0.2239990234374993,0.7760009765625,0.2239990234375,{}
contextuality-preserving,low,False,R2C2,8192,2,2,0.7420654296875,0.7412706433817281,0.2579345703124993,0.7420654296875,0.2579345703125,{}
contextuality-preserving,low,False,R2C3,8192,2,3,0.7666015625,0.7662163637273252,0.23339843749999928,0.7666015625,0.2333984375,{}
contextuality-preserving,low,False,R3C1,8192,3,1,0.7762451171875,0.7757943241147348,0.2237548828124991,0.7762451171875,0.2237548828125,{}
contextuality-preserving,low,False,R3C2,8192,3,2,0.730224609375,0.7301017004856909,0.2697753906249991,0.730224609375,0.269775390625,{}
contextuality-preserving,low,False,R3C3,8192,3,3,0.781005859375,0.7804950927997745,0.2189941406249991,0.781005859375,0.218994140625,{}
baseline,low,False,R1C1,8192,1,1,0.8994140625,0.8990317200552042,0.10058593749999883,0.8994140625,0.1005859375,{}
baseline,low,False,R1C2,8192,1,2,0.751220703125,0.7511199279679823,0.24877929687499883,0.751220703125,0.248779296875,{}
baseline,low,False,R1C3,8192,1,3,0.7535400390625,0.7528991515163165,0.24645996093749886,0.7535400390625,0.2464599609375,{}
baseline,low,False,R2C1,8192,2,1,0.7398681640625,0.7396539175187117,0.26013183593749883,0.7398681640625,0.2601318359375,{}
baseline,low,False,R2C2,8192,2,2,0.6949462890625,0.6943831889480764,0.30505371093749883,0.6949462890625,0.3050537109375,{}
baseline,low,False,R2C3,8192,2,3,0.7366943359375,0.7363167091536665,0.2633056640624989,0.7366943359375,0.2633056640625,{}
baseline,low,False,R3C1,8192,3,1,0.744873046875,0.7440801206563383,0.25512695312499867,0.744873046875,0.255126953125,{}
baseline,low,False,R3C2,8192,3,2,0.693115234375,0.6929454428455037,0.30688476562499867,0.693115234375,0.306884765625,{}
baseline,low,False,R3C3,8192,3,3,0.769287109375,0.7691450379156469,0.23071289062499867,0.769287109375,0.230712890625,{}
