circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,8192,1,1,0.9620361328125,0.9619424279395258,0.03796386718749982,0.9620361328125,0.0379638671875,{}
contextuality-preserving,low,False,R1C2,8192,1,2,0.952392578125,0.9522566323153806,0.04785156249999985,0.952392578125,0.047607421875,{}
contextuality-preserving,low,False,R1C3,8192,1,3,0.94970703125,0.949581079296246,0.05029296874999982,0.94970703125,0.05029296875,{}
contextuality-preserving,low,False,R2C1,8192,2,1,0.953857421875,0.9537904838118225,0.04614257812499982,0.953857421875,0.046142578125,{}
contextuality-preserving,low,False,R2C2,8192,2,2,0.9488525390625,0.9487193564253339,0.05139160156249985,0.9488525390625,0.0511474609375,{}
contextuality-preserving,low,False,R2C3,8192,2,3,0.940673828125,0.9405260007071888,0.05932617187499982,0.940673828125,0.059326171875,{}
contextuality-preserving,low,False,R3C1,8192,3,1,0.94921875,0.9491511827512381,0.05078124999999978,0.94921875,0.05078125,{}
contextuality-preserving,low,False,R3C2,8192,3,2,0.9407958984375,0.9406556615751804,0.05920410156249978,0.9407958984375,0.0592041015625,{}
contextuality-preserving,low,False,R3C3,8192,3,3,0.93359375,0.9334573732484209,0.06640624999999978,0.93359375,0.06640625,{}
baseline,low,False,R1C1,8192,1,1,0.9599609375,0.9598753125978554,0.04003906249999972,0.9599609375,0.0400390625,{}
baseline,low,False,R1C2,8192,1,2,0.9482421875,0.9480975609015525,0.05175781249999973,0.9482421875,0.0517578125,{}
baseline,low,False,R1C3,8192,1,3,0.9481201171875,0.9479948688858596,0.051879882812499695,0.9481201171875,0.0518798828125,{}
baseline,low,False,R2C1,8192,2,1,0.949951171875,0.9498615852886415,0.0500488281249997,0.949951171875,0.050048828125,{}
baseline,low,False,R2C2,8192,2,2,0.9453125,0.9451828209016265,0.05468749999999973,0.9453125,0.0546875,{}
baseline,low,False,R2C3,8192,2,3,0.93701171875,0.9368632528453801,0.06298828124999967,0.93701171875,0.06298828125,{}
baseline,low,False,R3C1,8192,3,1,0.9473876953125,0.9473137928508706,0.05261230468749961,0.9473876953125,0.0526123046875,{}
baseline,low,False,R3C2,8192,3,2,0.9364013671875,0.9362625571346173,0.06359863281249961,0.9364013671875,0.0635986328125,{}
baseline,low,False,R3C3,8192,3,3,0.9315185546875,0.9313779743813634,0.06848144531249961,0.9315185546875,0.0684814453125,{}
contextuality-preserving,low,True,R1C1,8192,1,1,0.9795074462890625,0.9791549551255733,0.027725219726562327,0.9795074462890625,0.020492553710937493,"{""1"": {""0000"": 0.1168212890625, ""0001"": 0.1246337890625, ""0010"": 0.0048828125, ""0011"": 0.0059814453125, ""0100"": 0.1173095703125, ""0101"": 0.1212158203125, ""0110"": 0.00439453125, ""0111"": 0.0047607421875, ""1000"": 0.0030517578125, ""1001"": 0.0048828125, ""1010"": 0.1220703125, ""1011"": 0.1195068359375, ""1100"": 0.0050048828125, ""1101"": 0.0050048828125, ""1110"": 0.120849609375, ""1111"": 0.11962890625}, ""3"": {""0000"": 0.1173095703125, ""0001"": 0.1207275390625, ""0010"": 0.0087890625, ""0011"": 0.00830078125, ""0100"": 0.11083984375, ""0101"": 0.116943359375, ""0110"": 0.009765625, ""0111"": 0.009765625, ""1000"": 0.007568359375, ""1001"": 0.0078125, ""1010"": 0.1158447265625, ""1011"": 0.119384765625, ""1100"": 0.010986328125, ""1101"": 0.007080078125, ""1110"": 0.110595703125, ""1111"": 0.1182861328125}, ""5"": {""0000"": 0.1124267578125, ""0001"": 0.1170654296875, ""0010"": 0.013916015625, ""0011"": 0.012939453125, ""0100"": 0.111083984375, ""0101"": 0.1201171875, ""0110"": 0.012451171875, ""0111"": 0.010986328125, ""1000"": 0.0113525390625, ""1001"": 0.01318359375, ""1010"": 0.101318359375, ""1011"": 0.1142578125, ""1100"": 0.0128173828125, ""1101"": 0.0107421875, ""1110"": 0.1094970703125, ""1111"": 0.1158447265625}}"
contextuality-preserving,low,True,R1C2,8192,1,2,0.9809978056808484,0.9799689381850349,0.03683103742533211,0.9809978056808484,0.019002194319151528,"{""1"": {""0000"": 0.114990234375, ""0001"": 0.0069580078125, ""0010"": 0.125244140625, ""0011"": 0.005126953125, ""0100"": 0.1162109375, ""0101"": 0.0062255859375, ""0110"": 0.119873046875, ""0111"": 0.00537109375, ""1000"": 0.0050048828125, ""1001"": 0.11962890625, ""1010"": 0.0057373046875, ""1011"": 0.119140625, ""1100"": 0.006591796875, ""1101"": 0.119384765625, ""1110"": 0.006591796875, ""1111"": 0.117919921875}, ""3"": {""0000"": 0.1123046875, ""0001"": 0.0130615234375, ""0010"": 0.1136474609375, ""0011"": 0.013671875, ""0100"": 0.1168212890625, ""0101"": 0.013671875, ""0110"": 0.107666015625, ""0111"": 0.011962890625, ""1000"": 0.01318359375, ""1001"": 0.1104736328125, ""1010"": 0.0118408203125, ""1011"": 0.1109619140625, ""1100"": 0.0107421875, ""1101"": 0.1138916015625, ""1110"": 0.0120849609375, ""1111"": 0.114013671875}, ""5"": {""0000"": 0.1053466796875, ""0001"": 0.016845703125, ""0010"": 0.1148681640625, ""0011"": 0.01708984375, ""0100"": 0.1024169921875, ""0101"": 0.0191650390625, ""0110"": 0.110107421875, ""0111"": 0.016357421875, ""1000"": 0.0181884765625, ""1001"": 0.106201171875, ""1010"": 0.017822265625, ""1011"": 0.107666015625, ""1100"": 0.0198974609375, ""1101"": 0.1029052734375, ""1110"": 0.017822265625, ""1111"": 0.1072998046875}}"
contextuality-preserving,low,True,R1C3,8192,1,3,0.9747773575698427,0.9742992040923183,0.03690374527266045,0.9747773575698427,0.025222642430157365,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.1251220703125, ""0011"": 0.0052490234375, ""0100"": 0.00634765625, ""0101"": 0.1160888671875, ""0110"": 0.1187744140625, ""0111"": 0.0064697265625, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.006591796875, ""1011"": 0.1182861328125, ""1100"": 0.1201171875, ""1101"": 0.005859375, ""1110"": 0.00634765625, ""1111"": 0.1181640625}, ""3"": {""0000"": 0.01220703125, ""0001"": 0.111572265625, ""0010"": 0.1141357421875, ""0011"": 0.0118408203125, ""0100"": 0.0118408203125, ""0101"": 0.1129150390625, ""0110"": 0.1077880859375, ""0111"": 0.0111083984375, ""1000"": 0.1131591796875, ""1001"": 0.011474609375, ""1010"": 0.01171875, ""1011"": 0.1126708984375, ""1100"": 0.1171875, ""1101"": 0.014404296875, ""1110"": 0.01025390625, ""1111"": 0.11572265625}, ""5"": {""0000"": 0.0166015625, ""0001"": 0.1109619140625, ""0010"": 0.1070556640625, ""0011"": 0.016845703125, ""0100"": 0.01806640625, ""0101"": 0.114013671875, ""0110"": 0.1114501953125, ""0111"": 0.0157470703125, ""1000"": 0.10693359375, ""1001"": 0.017333984375, ""1010"": 0.01513671875, ""1011"": 0.104248046875, ""1100"": 0.1097412109375, ""1101"": 0.01708984375, ""1110"": 0.0159912109375, ""1111"": 0.102783203125}}"
