circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,8192,[1],0.9477866886744819,0.052151150173610925,0.5311279296875007,0.9479031032986112
baseline,low,False,local_aer_noise_model,8192,[1],0.9447588584208629,0.05512152777777745,0.5039062500000001,0.9448784722222222
contextuality-preserving,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9750987691652687,0.03549268691239051,0.7815325585695719,0.9757258398410635
baseline,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9757935536367266,0.03471945809102127,0.7887535112599449,0.9765281679177716
contextuality-preserving,medium,False,local_aer_noise_model,8192,[1],0.8956336289179956,0.10422092013888869,0.06201171875000086,0.8957790798611112
baseline,medium,False,local_aer_noise_model,8192,[1],0.8884935020644655,0.11135525173611077,0.0,0.8886447482638888
contextuality-preserving,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9468284674025025,0.05955177614005956,0.5279604154273249,0.9475511572697027
baseline,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9487213166604421,0.05598631498977875,0.5446605588849052,0.9494067287649894
contextuality-preserving,high,False,local_aer_noise_model,8192,[1],0.8125614031099653,0.18732367621527757,0.0,0.8126763237847222
baseline,high,False,local_aer_noise_model,8192,[1],0.801898963032077,0.1979844835069441,0.0,0.8020155164930556
contextuality-preserving,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.8869283226024887,0.11250474717881935,0.0,0.8875986735026041
baseline,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.8877360847876545,0.11169720691620598,0.0,0.8886537452322312
