circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,8192,[1],0.947787,0.052151,0.531128,0.947903
baseline,low,False,local_aer_noise_model,8192,[1],0.944759,0.055122,0.503906,0.944878
contextuality-preserving,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.975099,0.035493,0.781533,0.975726
baseline,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.975794,0.034719,0.788754,0.976528
contextuality-preserving,medium,False,local_aer_noise_model,8192,[1],0.895634,0.104221,0.062012,0.895779
baseline,medium,False,local_aer_noise_model,8192,[1],0.888494,0.111355,0.0,0.888645
contextuality-preserving,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.946828,0.059552,0.52796,0.947551
baseline,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.948721,0.055986,0.544661,0.949407
contextuality-preserving,high,False,local_aer_noise_model,8192,[1],0.812561,0.187324,0.0,0.812676
baseline,high,False,local_aer_noise_model,8192,[1],0.801899,0.197984,0.0,0.802016
contextuality-preserving,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.886928,0.112505,0.0,0.887599
baseline,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.887736,0.111697,0.0,0.888654
