circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,8192,1,1,0.9620361328125,0.9619424279395258,0.03796386718749982,0.9620361328125,0.0379638671875,{}
contextuality-preserving,low,False,R1C2,8192,1,2,0.953369140625,0.9532340854223288,0.04699707031249985,0.953369140625,0.046630859375,{}
contextuality-preserving,low,False,R1C3,8192,1,3,0.9501953125,0.9500634863947258,0.04992675781249968,0.9501953125,0.0498046875,{}
contextuality-preserving,low,False,R2C1,8192,2,1,0.953369140625,0.953303389978123,0.04663085937499982,0.953369140625,0.046630859375,{}
contextuality-preserving,low,False,R2C2,8192,2,2,0.9488525390625,0.9487193564253339,0.05139160156249985,0.9488525390625,0.0511474609375,{}
contextuality-preserving,low,False,R2C3,8192,2,3,0.9400634765625,0.939916125367713,0.05993652343749982,0.9400634765625,0.0599365234375,{}
contextuality-preserving,low,False,R3C1,8192,3,1,0.94921875,0.9491511827512381,0.05078124999999978,0.94921875,0.05078125,{}
contextuality-preserving,low,False,R3C2,8192,3,2,0.9407958984375,0.9406556615751804,0.05920410156249978,0.9407958984375,0.0592041015625,{}
contextuality-preserving,low,False,R3C3,8192,3,3,0.93359375,0.9334573732484209,0.06640624999999978,0.93359375,0.06640625,{}
baseline,low,False,R1C1,8192,1,1,0.94970703125,0.9496224819575342,0.05029296874999972,0.94970703125,0.05029296875,{}
baseline,low,False,R1C2,8192,1,2,0.930419921875,0.9302640686188159,0.06958007812499974,0.930419921875,0.069580078125,{}
baseline,low,False,R1C3,8192,1,3,0.9404296875,0.9403025918717883,0.059570312499999695,0.9404296875,0.0595703125,{}
baseline,low,False,R2C1,8192,2,1,0.9339599609375,0.933871483383249,0.0660400390624997,0.9339599609375,0.0660400390625,{}
baseline,low,False,R2C2,8192,2,2,0.9263916015625,0.9262398420282811,0.07360839843749974,0.9263916015625,0.0736083984375,{}
baseline,low,False,R2C3,8192,2,3,0.9173583984375,0.9171843913941403,0.08264160156249967,0.9173583984375,0.0826416015625,{}
baseline,low,False,R3C1,8192,3,1,0.9376220703125,0.9375294180685089,0.06237792968749961,0.9376220703125,0.0623779296875,{}
baseline,low,False,R3C2,8192,3,2,0.9193115234375,0.9191584792944834,0.08068847656249961,0.9193115234375,0.0806884765625,{}
baseline,low,False,R3C3,8192,3,3,0.9234619140625,0.9233284101528659,0.07653808593749961,0.9234619140625,0.0765380859375,{}
contextuality-preserving,low,True,R1C1,8192,1,1,0.9820584017331342,0.9818560040387805,0.0216641747780183,0.9820584017331342,0.017941598266866043,"{""1"": {""0000"": 0.1168212890625, ""0001"": 0.1246337890625, ""0010"": 0.0048828125, ""0011"": 0.0059814453125, ""0100"": 0.1173095703125, ""0101"": 0.1212158203125, ""0110"": 0.00439453125, ""0111"": 0.0047607421875, ""1000"": 0.0030517578125, ""1001"": 0.0048828125, ""1010"": 0.1220703125, ""1011"": 0.1195068359375, ""1100"": 0.0050048828125, ""1101"": 0.0050048828125, ""1110"": 0.120849609375, ""1111"": 0.11962890625}, ""3"": {""0000"": 0.1162109375, ""0001"": 0.1199951171875, ""0010"": 0.009765625, ""0011"": 0.0084228515625, ""0100"": 0.1092529296875, ""0101"": 0.117431640625, ""0110"": 0.0098876953125, ""0111"": 0.0098876953125, ""1000"": 0.008544921875, ""1001"": 0.008056640625, ""1010"": 0.115478515625, ""1011"": 0.116943359375, ""1100"": 0.0107421875, ""1101"": 0.0076904296875, ""1110"": 0.113525390625, ""1111"": 0.1181640625}, ""5"": {""0000"": 0.1134033203125, ""0001"": 0.1143798828125, ""0010"": 0.0142822265625, ""0011"": 0.0137939453125, ""0100"": 0.11279296875, ""0101"": 0.1103515625, ""0110"": 0.0120849609375, ""0111"": 0.01123046875, ""1000"": 0.0128173828125, ""1001"": 0.01318359375, ""1010"": 0.108154296875, ""1011"": 0.112060546875, ""1100"": 0.0120849609375, ""1101"": 0.011474609375, ""1110"": 0.111328125, ""1111"": 0.1165771484375}}"
