circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,8192,[1],0.9478270099002878,0.05213758680555535,0.5314941406250003,0.9479437934027778
baseline,low,False,local_aer_noise_model,8192,[1],0.9308334629744075,0.06903754340277746,0.37866210937500017,0.9309624565972222
contextuality-preserving,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9753063968945302,0.03727310502231337,0.78493831156282,0.9761042568403133
baseline,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9748398962438648,0.03555364840798457,0.7802653939698202,0.9755850437744245
contextuality-preserving,medium,False,local_aer_noise_model,8192,[1],0.8957709161192872,0.10408528645833313,0.06323242187500008,0.8959147135416666
baseline,medium,False,local_aer_noise_model,8192,[1],0.8651137929891248,0.13472493489583298,0.0,0.8652750651041666
contextuality-preserving,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9470273017483122,0.057632532880809495,0.5293195926782209,0.9477021769642467
baseline,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.9422350190390154,0.06253617678799347,0.4861624732602958,0.9429069414733662
contextuality-preserving,high,False,local_aer_noise_model,8192,[1],0.8127105009433904,0.18717447916666644,0.0,0.8128255208333334
baseline,high,False,local_aer_noise_model,8192,[1],0.7646774790202293,0.2352159288194441,0.0,0.7647840711805556
contextuality-preserving,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.8913897539179376,0.10811530219184015,0.026962280273437823,0.8918846978081597
baseline,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.868582478661162,0.13096110026041646,0.0,0.8691745334201388
