circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,local_aer_noise_model,8192,[1],0.947827,0.052138,0.531494,0.947944
baseline,low,False,local_aer_noise_model,8192,[1],0.930833,0.069038,0.378662,0.930962
contextuality-preserving,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.975306,0.037273,0.784938,0.976104
baseline,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.97484,0.035554,0.780265,0.975585
contextuality-preserving,medium,False,local_aer_noise_model,8192,[1],0.895771,0.104085,0.063232,0.895915
baseline,medium,False,local_aer_noise_model,8192,[1],0.865114,0.134725,0.0,0.865275
contextuality-preserving,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.947027,0.057633,0.52932,0.947702
baseline,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.942235,0.062536,0.486162,0.942907
contextuality-preserving,high,False,local_aer_noise_model,8192,[1],0.812711,0.187174,0.0,0.812826
baseline,high,False,local_aer_noise_model,8192,[1],0.764677,0.235216,0.0,0.764784
contextuality-preserving,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.89139,0.108115,0.026962,0.891885
baseline,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.868582,0.130961,0.0,0.869175
