circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,8192,1,1,0.8541259765625,0.85407736524954,0.1458740234374998,0.8541259765625,0.1458740234375,{}
contextuality-preserving,low,False,R1C2,8192,1,2,0.9735107421875,0.9734564384084251,0.027221679687499792,0.9735107421875,0.0264892578125,{}
contextuality-preserving,low,False,R1C3,8192,1,3,0.83837890625,0.838176985416501,0.16162109374999978,0.83837890625,0.16162109375,{}
contextuality-preserving,low,False,R2C1,8192,2,1,0.8431396484375,0.842839893070538,0.1568603515624998,0.8431396484375,0.1568603515625,{}
contextuality-preserving,low,False,R2C2,8192,2,2,0.971435546875,0.9712439778053138,0.03222656249999985,0.971435546875,0.028564453125,{}
contextuality-preserving,low,False,R2C3,8192,2,3,0.8404541015625,0.8401879393410511,0.15954589843749978,0.8404541015625,0.1595458984375,{}
contextuality-preserving,low,False,R3C1,8192,3,1,0.8460693359375,0.8458409897769391,0.15393066406249978,0.8460693359375,0.1539306640625,{}
contextuality-preserving,low,False,R3C2,8192,3,2,0.9671630859375,0.9669058253367424,0.03283691406249978,0.9671630859375,0.0328369140625,{}
contextuality-preserving,low,False,R3C3,8192,3,3,0.837890625,0.8376093323660804,0.16210937499999978,0.837890625,0.162109375,{}
baseline,low,False,R1C1,8192,1,1,0.84912109375,0.8489683750020024,0.15087890624999972,0.84912109375,0.15087890625,{}
baseline,low,False,R1C2,8192,1,2,0.9686279296875,0.9682999483257058,0.03784179687499987,0.9686279296875,0.0313720703125,{}
baseline,low,False,R1C3,8192,1,3,0.8465576171875,0.8463036237615187,0.1534423828124997,0.8465576171875,0.1534423828125,{}
baseline,low,False,R2C1,8192,2,1,0.8509521484375,0.8506867410940455,0.14904785156249967,0.8509521484375,0.1490478515625,{}
baseline,low,False,R2C2,8192,2,2,0.96630859375,0.9661083563746273,0.03601074218749976,0.96630859375,0.03369140625,{}
baseline,low,False,R2C3,8192,2,3,0.8333740234375,0.8331228122546492,0.1666259765624997,0.8333740234375,0.1666259765625,{}
baseline,low,False,R3C1,8192,3,1,0.847412109375,0.8471964998265873,0.15258789062499958,0.847412109375,0.152587890625,{}
baseline,low,False,R3C2,8192,3,2,0.9599609375,0.959674741771764,0.04321289062499971,0.9599609375,0.0400390625,{}
baseline,low,False,R3C3,8192,3,3,0.8365478515625,0.8363585910985165,0.16345214843749958,0.8365478515625,0.1634521484375,{}
contextuality-preserving,low,True,R1C1,8192,1,1,0.8380279541015625,0.8374023974989291,0.16197204589843725,0.8380279541015625,0.16197204589843747,"{""1"": {""0000"": 0.1041259765625, ""0001"": 0.1043701171875, ""0010"": 0.0203857421875, ""0011"": 0.0179443359375, ""0100"": 0.1026611328125, ""0101"": 0.104736328125, ""0110"": 0.0194091796875, ""0111"": 0.019287109375, ""1000"": 0.0201416015625, ""1001"": 0.0189208984375, ""1010"": 0.1080322265625, ""1011"": 0.107421875, ""1100"": 0.01806640625, ""1101"": 0.020263671875, ""1110"": 0.1112060546875, ""1111"": 0.10302734375}, ""3"": {""0000"": 0.1051025390625, ""0001"": 0.1029052734375, ""0010"": 0.0201416015625, ""0011"": 0.019287109375, ""0100"": 0.1094970703125, ""0101"": 0.1092529296875, ""0110"": 0.0174560546875, ""0111"": 0.018798828125, ""1000"": 0.020751953125, ""1001"": 0.020263671875, ""1010"": 0.1094970703125, ""1011"": 0.1038818359375, ""1100"": 0.019775390625, ""1101"": 0.0172119140625, ""1110"": 0.1048583984375, ""1111"": 0.101318359375}, ""5"": {""0000"": 0.1021728515625, ""0001"": 0.1025390625, ""0010"": 0.02197265625, ""0011"": 0.0225830078125, ""0100"": 0.1065673828125, ""0101"": 0.108154296875, ""0110"": 0.0216064453125, ""0111"": 0.020751953125, ""1000"": 0.0203857421875, ""1001"": 0.022705078125, ""1010"": 0.103759765625, ""1011"": 0.0972900390625, ""1100"": 0.0198974609375, ""1101"": 0.022216796875, ""1110"": 0.1048583984375, ""1111"": 0.1025390625}}"
contextuality-preserving,low,True,R1C2,8192,1,2,0.9793701171874999,0.978776019834615,0.03314208984374991,0.9793701171874999,0.02062988281249998,"{""1"": {""0000"": 0.116943359375, ""0001"": 0.0028076171875, ""0010"": 0.1231689453125, ""0011"": 0.003173828125, ""0100"": 0.1240234375, ""0101"": 0.0030517578125, ""0110"": 0.1214599609375, ""0111"": 0.00341796875, ""1000"": 0.00390625, ""1001"": 0.1219482421875, ""1010"": 0.0047607421875, ""1011"": 0.1197509765625, ""1100"": 0.0032958984375, ""1101"": 0.1217041015625, ""1110"": 0.0029296875, ""1111"": 0.1236572265625}, ""3"": {""0000"": 0.1207275390625, ""0001"": 0.0059814453125, ""0010"": 0.123046875, ""0011"": 0.0068359375, ""0100"": 0.1156005859375, ""0101"": 0.005859375, ""0110"": 0.1190185546875, ""0111"": 0.0052490234375, ""1000"": 0.00439453125, ""1001"": 0.1197509765625, ""1010"": 0.005126953125, ""1011"": 0.1197509765625, ""1100"": 0.0054931640625, ""1101"": 0.121337890625, ""1110"": 0.0054931640625, ""1111"": 0.1163330078125}, ""5"": {""0000"": 0.11865234375, ""0001"": 0.008056640625, ""0010"": 0.115966796875, ""0011"": 0.00830078125, ""0100"": 0.1214599609375, ""0101"": 0.0078125, ""0110"": 0.112548828125, ""0111"": 0.00830078125, ""1000"": 0.0084228515625, ""1001"": 0.1207275390625, ""1010"": 0.00927734375, ""1011"": 0.1209716796875, ""1100"": 0.0072021484375, ""1101"": 0.1099853515625, ""1110"": 0.009033203125, ""1111"": 0.11328125}}"
contextuality-preserving,low,True,R1C3,8192,1,3,0.8465423583984375,0.8446520466705352,0.15345764160156228,0.8465423583984375,0.15345764160156253,"{""1"": {""0000"": 0.0191650390625, ""0001"": 0.1063232421875, ""0010"": 0.1016845703125, ""0011"": 0.01953125, ""0100"": 0.0167236328125, ""0101"": 0.112548828125, ""0110"": 0.0989990234375, ""0111"": 0.018798828125, ""1000"": 0.111083984375, ""1001"": 0.02099609375, ""1010"": 0.01904296875, ""1011"": 0.103271484375, ""1100"": 0.1043701171875, ""1101"": 0.021240234375, ""1110"": 0.0177001953125, ""1111"": 0.1085205078125}, ""3"": {""0000"": 0.0191650390625, ""0001"": 0.1072998046875, ""0010"": 0.1094970703125, ""0011"": 0.0216064453125, ""0100"": 0.0196533203125, ""0101"": 0.1015625, ""0110"": 0.1007080078125, ""0111"": 0.018310546875, ""1000"": 0.1068115234375, ""1001"": 0.017822265625, ""1010"": 0.0205078125, ""1011"": 0.1082763671875, ""1100"": 0.102783203125, ""1101"": 0.018798828125, ""1110"": 0.023681640625, ""1111"": 0.103515625}, ""5"": {""0000"": 0.0211181640625, ""0001"": 0.0960693359375, ""0010"": 0.10693359375, ""0011"": 0.0206298828125, ""0100"": 0.0240478515625, ""0101"": 0.1075439453125, ""0110"": 0.097412109375, ""0111"": 0.0218505859375, ""1000"": 0.107177734375, ""1001"": 0.0238037109375, ""1010"": 0.0223388671875, ""1011"": 0.1015625, ""1100"": 0.106689453125, ""1101"": 0.020263671875, ""1110"": 0.02099609375, ""1111"": 0.1015625}}"
contextuality-preserving,low,True,R2C1,8192,2,1,0.8855438232421875,0.8832766611864848,0.11593627929687492,0.8855438232421875,0.11445617675781256,"{""1"": {""0000"": 0.11328125, ""0001"": 0.0968017578125, ""0010"": 0.0166015625, ""0011"": 0.01904296875, ""0100"": 0.0198974609375, ""0101"": 0.017822265625, ""0110"": 0.1146240234375, ""0111"": 0.104248046875, ""1000"": 0.10693359375, ""1001"": 0.10302734375, ""1010"": 0.016357421875, ""1011"": 0.017578125, ""1100"": 0.0169677734375, ""1101"": 0.0184326171875, ""1110"": 0.1053466796875, ""1111"": 0.113037109375}, ""3"": {""0000"": 0.09814453125, ""0001"": 0.1026611328125, ""0010"": 0.0242919921875, ""0011"": 0.0218505859375, ""0100"": 0.024169921875, ""0101"": 0.020263671875, ""0110"": 0.10498046875, ""0111"": 0.1002197265625, ""1000"": 0.1053466796875, ""1001"": 0.100830078125, ""1010"": 0.023193359375, ""1011"": 0.0225830078125, ""1100"": 0.0198974609375, ""1101"": 0.021240234375, ""1110"": 0.107666015625, ""1111"": 0.1026611328125}, ""5"": {""0000"": 0.0980224609375, ""0001"": 0.1011962890625, ""0010"": 0.024658203125, ""0011"": 0.0234375, ""0100"": 0.02294921875, ""0101"": 0.0224609375, ""0110"": 0.1019287109375, ""0111"": 0.106201171875, ""1000"": 0.1041259765625, ""1001"": 0.1002197265625, ""1010"": 0.023681640625, ""1011"": 0.023193359375, ""1100"": 0.0205078125, ""1101"": 0.0224609375, ""1110"": 0.1043701171875, ""1111"": 0.1005859375}}"
contextuality-preserving,low,True,R2C2,8192,2,2,0.973907470703125,0.9731858523611416,0.03637695312500001,0.973907470703125,0.02609252929687497,"{""1"": {""0000"": 0.1201171875, ""0001"": 0.004638671875, ""0010"": 0.1231689453125, ""0011"": 0.0030517578125, ""0100"": 0.00390625, ""0101"": 0.124267578125, ""0110"": 0.0040283203125, ""0111"": 0.126708984375, ""1000"": 0.122314453125, ""1001"": 0.0029296875, ""1010"": 0.1229248046875, ""1011"": 0.0037841796875, ""1100"": 0.0029296875, ""1101"": 0.114501953125, ""1110"": 0.0042724609375, ""1111"": 0.116455078125}, ""3"": {""0000"": 0.1187744140625, ""0001"": 0.005126953125, ""0010"": 0.114501953125, ""0011"": 0.006103515625, ""0100"": 0.00634765625, ""0101"": 0.1226806640625, ""0110"": 0.0047607421875, ""0111"": 0.1195068359375, ""1000"": 0.123291015625, ""1001"": 0.0062255859375, ""1010"": 0.119873046875, ""1011"": 0.0054931640625, ""1100"": 0.0050048828125, ""1101"": 0.1168212890625, ""1110"": 0.0052490234375, ""1111"": 0.1202392578125}, ""5"": {""0000"": 0.1258544921875, ""0001"": 0.0059814453125, ""0010"": 0.110107421875, ""0011"": 0.0093994140625, ""0100"": 0.009765625, ""0101"": 0.1143798828125, ""0110"": 0.007568359375, ""0111"": 0.1146240234375, ""1000"": 0.115234375, ""1001"": 0.0089111328125, ""1010"": 0.115966796875, ""1011"": 0.01025390625, ""1100"": 0.0086669921875, ""1101"": 0.1201171875, ""1110"": 0.009033203125, ""1111"": 0.1141357421875}}"
