circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,256,1,1,0.85546875,0.848738246894839,0.15234375000000003,0.85546875,0.14453125,{}
contextuality-preserving,low,False,R1C2,256,1,2,0.96484375,0.9609423350248933,0.07421875000000003,0.96484375,0.03515625,{}
contextuality-preserving,low,False,R1C3,256,1,3,0.87109375,0.8635198792647968,0.13671874999999994,0.87109375,0.12890625,{}
contextuality-preserving,low,False,R2C1,256,2,1,0.87890625,0.875206212175916,0.12499999999999988,0.87890625,0.12109375,{}
contextuality-preserving,low,False,R2C2,256,2,2,0.9609375,0.9579287859470038,0.06640625000000008,0.9609375,0.0390625,{}
contextuality-preserving,low,False,R2C3,256,2,3,0.8359375,0.8307047338198729,0.16406249999999994,0.8359375,0.1640625,{}
contextuality-preserving,low,False,R3C1,256,3,1,0.859375,0.8457149745809187,0.1914062499999999,0.859375,0.140625,{}
contextuality-preserving,low,False,R3C2,256,3,2,0.95703125,0.9524345622252843,0.08593749999999989,0.95703125,0.04296875,{}
contextuality-preserving,low,False,R3C3,256,3,3,0.8125,0.8046707611764777,0.1874999999999999,0.8125,0.1875,{}
baseline,low,False,R1C1,256,1,1,0.83984375,0.8368067322732454,0.16015624999999972,0.83984375,0.16015625,{}
baseline,low,False,R1C2,256,1,2,0.984375,0.9818292025026539,0.04687500000000013,0.984375,0.015625,{}
baseline,low,False,R1C3,256,1,3,0.8125,0.8025656115372072,0.21484375000000003,0.8125,0.1875,{}
baseline,low,False,R2C1,256,2,1,0.80078125,0.7960663803702228,0.19921874999999967,0.80078125,0.19921875,{}
baseline,low,False,R2C2,256,2,2,0.9453125,0.936944106005283,0.10156249999999992,0.9453125,0.0546875,{}
baseline,low,False,R2C3,256,2,3,0.86328125,0.8610875226591562,0.14062499999999958,0.86328125,0.13671875,{}
baseline,low,False,R3C1,256,3,1,0.83984375,0.8265418176178229,0.1757812499999999,0.83984375,0.16015625,{}
baseline,low,False,R3C2,256,3,2,0.9453125,0.9332479856893982,0.10546874999999989,0.9453125,0.0546875,{}
baseline,low,False,R3C3,256,3,3,0.8125,0.8062240560458788,0.2070312499999997,0.8125,0.1875,{}
contextuality-preserving,low,True,R1C1,256,1,1,0.8585271317829457,0.8423188755113747,0.17926356589147277,0.8585271317829457,0.14147286821705427,"{""1"": {""0000"": 0.08203125, ""0001"": 0.1015625, ""0010"": 0.0234375, ""0011"": 0.02734375, ""0100"": 0.1015625, ""0101"": 0.1015625, ""0110"": 0.01953125, ""0111"": 0.0078125, ""1000"": 0.00390625, ""1001"": 0.00390625, ""1010"": 0.1171875, ""1011"": 0.109375, ""1100"": 0.015625, ""1101"": 0.03515625, ""1110"": 0.11328125, ""1111"": 0.13671875}, ""3"": {""0000"": 0.109375, ""0001"": 0.1640625, ""0010"": 0.015625, ""0011"": 0.01171875, ""0100"": 0.13671875, ""0101"": 0.08984375, ""0110"": 0.015625, ""0111"": 0.0234375, ""1000"": 0.01171875, ""1001"": 0.02734375, ""1010"": 0.0625, ""1011"": 0.08984375, ""1100"": 0.015625, ""1101"": 0.01953125, ""1110"": 0.0859375, ""1111"": 0.12109375}}"
contextuality-preserving,low,True,R1C2,256,1,2,0.9669902912621358,0.956705095497713,0.09611650485436887,0.9669902912621358,0.033009708737864074,"{""1"": {""0000"": 0.1484375, ""0001"": 0.0078125, ""0010"": 0.1171875, ""0011"": 0.0, ""0100"": 0.1171875, ""0101"": 0.0078125, ""0110"": 0.12890625, ""0111"": 0.0, ""1000"": 0.00390625, ""1001"": 0.12890625, ""1010"": 0.0078125, ""1011"": 0.109375, ""1100"": 0.00390625, ""1101"": 0.125, ""1110"": 0.00390625, ""1111"": 0.08984375}, ""3"": {""0000"": 0.140625, ""0001"": 0.01171875, ""0010"": 0.1328125, ""0011"": 0.00390625, ""0100"": 0.1171875, ""0101"": 0.015625, ""0110"": 0.08984375, ""0111"": 0.0078125, ""1000"": 0.0, ""1001"": 0.11328125, ""1010"": 0.00390625, ""1011"": 0.1171875, ""1100"": 0.00390625, ""1101"": 0.1171875, ""1110"": 0.00390625, ""1111"": 0.12109375}}"
