circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,8192,1,1,0.9620361328125,0.9619424279395258,0.03796386718749982,0.9620361328125,0.0379638671875,{}
contextuality-preserving,low,False,R1C2,8192,1,2,0.9525146484375,0.9523808005567758,0.04772949218749985,0.9525146484375,0.0474853515625,{}
contextuality-preserving,low,False,R1C3,8192,1,3,0.9501953125,0.9500634863947258,0.04992675781249968,0.9501953125,0.0498046875,{}
contextuality-preserving,low,False,R2C1,8192,2,1,0.953369140625,0.953303389978123,0.04663085937499982,0.953369140625,0.046630859375,{}
contextuality-preserving,low,False,R2C2,8192,2,2,0.9495849609375,0.9494528797288733,0.05065917968749985,0.9495849609375,0.0504150390625,{}
contextuality-preserving,low,False,R2C3,8192,2,3,0.940673828125,0.9405260007071888,0.05932617187499982,0.940673828125,0.059326171875,{}
contextuality-preserving,low,False,R3C1,8192,3,1,0.94921875,0.9491511827512381,0.05078124999999978,0.94921875,0.05078125,{}
contextuality-preserving,low,False,R3C2,8192,3,2,0.9407958984375,0.9406556615751804,0.05920410156249978,0.9407958984375,0.0592041015625,{}
contextuality-preserving,low,False,R3C3,8192,3,3,0.93359375,0.9334573732484209,0.06640624999999978,0.93359375,0.06640625,{}
baseline,low,False,R1C1,8192,1,1,0.94970703125,0.9496224819575342,0.05029296874999972,0.94970703125,0.05029296875,{}
baseline,low,False,R1C2,8192,1,2,0.930419921875,0.9302640686188159,0.06958007812499974,0.930419921875,0.069580078125,{}
baseline,low,False,R1C3,8192,1,3,0.9404296875,0.9403025918717883,0.059570312499999695,0.9404296875,0.0595703125,{}
baseline,low,False,R2C1,8192,2,1,0.9339599609375,0.933871483383249,0.0660400390624997,0.9339599609375,0.0660400390625,{}
baseline,low,False,R2C2,8192,2,2,0.926025390625,0.9258762007285632,0.07397460937499974,0.926025390625,0.073974609375,{}
baseline,low,False,R2C3,8192,2,3,0.9173583984375,0.9171843913941403,0.08264160156249967,0.9173583984375,0.0826416015625,{}
baseline,low,False,R3C1,8192,3,1,0.9376220703125,0.9375294180685089,0.06237792968749961,0.9376220703125,0.0623779296875,{}
baseline,low,False,R3C2,8192,3,2,0.9193115234375,0.9191584792944834,0.08068847656249961,0.9193115234375,0.0806884765625,{}
baseline,low,False,R3C3,8192,3,3,0.9234619140625,0.9233284101528659,0.07653808593749961,0.9234619140625,0.0765380859375,{}
contextuality-preserving,low,True,R1C1,8192,1,1,0.9761199951171877,0.9750494130396455,0.041244506835937195,0.9761199951171877,0.023880004882812497,"{""1"": {""0000"": 0.1168212890625, ""0001"": 0.1246337890625, ""0010"": 0.0048828125, ""0011"": 0.0059814453125, ""0100"": 0.1173095703125, ""0101"": 0.1212158203125, ""0110"": 0.00439453125, ""0111"": 0.0047607421875, ""1000"": 0.0030517578125, ""1001"": 0.0048828125, ""1010"": 0.1220703125, ""1011"": 0.1195068359375, ""1100"": 0.0050048828125, ""1101"": 0.0050048828125, ""1110"": 0.120849609375, ""1111"": 0.11962890625}, ""3"": {""0000"": 0.1175537109375, ""0001"": 0.107666015625, ""0010"": 0.0079345703125, ""0011"": 0.0103759765625, ""0100"": 0.1148681640625, ""0101"": 0.1162109375, ""0110"": 0.0074462890625, ""0111"": 0.008544921875, ""1000"": 0.0081787109375, ""1001"": 0.00927734375, ""1010"": 0.1217041015625, ""1011"": 0.114013671875, ""1100"": 0.006591796875, ""1101"": 0.0106201171875, ""1110"": 0.1182861328125, ""1111"": 0.1207275390625}, ""5"": {""0000"": 0.1112060546875, ""0001"": 0.1153564453125, ""0010"": 0.0126953125, ""0011"": 0.014404296875, ""0100"": 0.10986328125, ""0101"": 0.111083984375, ""0110"": 0.0115966796875, ""0111"": 0.0125732421875, ""1000"": 0.014892578125, ""1001"": 0.0128173828125, ""1010"": 0.110107421875, ""1011"": 0.11083984375, ""1100"": 0.0123291015625, ""1101"": 0.012451171875, ""1110"": 0.1121826171875, ""1111"": 0.1156005859375}}"
contextuality-preserving,low,True,R1C2,8192,1,2,0.98541259765625,0.9848304645880726,0.023956298828124865,0.98541259765625,0.014587402343750019,"{""1"": {""0000"": 0.1151123046875, ""0001"": 0.0068359375, ""0010"": 0.125244140625, ""0011"": 0.005126953125, ""0100"": 0.1162109375, ""0101"": 0.0062255859375, ""0110"": 0.119873046875, ""0111"": 0.00537109375, ""1000"": 0.0050048828125, ""1001"": 0.11962890625, ""1010"": 0.0057373046875, ""1011"": 0.119140625, ""1100"": 0.006591796875, ""1101"": 0.119384765625, ""1110"": 0.006591796875, ""1111"": 0.117919921875}, ""3"": {""0000"": 0.116943359375, ""0001"": 0.0137939453125, ""0010"": 0.1142578125, ""0011"": 0.0128173828125, ""0100"": 0.1090087890625, ""0101"": 0.012939453125, ""0110"": 0.113037109375, ""0111"": 0.011474609375, ""1000"": 0.012939453125, ""1001"": 0.11328125, ""1010"": 0.0123291015625, ""1011"": 0.11328125, ""1100"": 0.01220703125, ""1101"": 0.1097412109375, ""1110"": 0.01416015625, ""1111"": 0.1077880859375}, ""5"": {""0000"": 0.1077880859375, ""0001"": 0.0177001953125, ""0010"": 0.1060791015625, ""0011"": 0.0177001953125, ""0100"": 0.1025390625, ""0101"": 0.019287109375, ""0110"": 0.1123046875, ""0111"": 0.0181884765625, ""1000"": 0.018310546875, ""1001"": 0.1092529296875, ""1010"": 0.0167236328125, ""1011"": 0.1080322265625, ""1100"": 0.01708984375, ""1101"": 0.1075439453125, ""1110"": 0.0186767578125, ""1111"": 0.102783203125}}"
contextuality-preserving,low,True,R1C3,8192,1,3,0.9751434326171875,0.9745949494305967,0.0321350097656247,0.9751434326171875,0.024856567382812507,"{""1"": {""0000"": 0.0068359375, ""0001"": 0.1151123046875, ""0010"": 0.1248779296875, ""0011"": 0.0054931640625, ""0100"": 0.00634765625, ""0101"": 0.1160888671875, ""0110"": 0.11865234375, ""0111"": 0.006591796875, ""1000"": 0.1185302734375, ""1001"": 0.006103515625, ""1010"": 0.006591796875, ""1011"": 0.1182861328125, ""1100"": 0.1201171875, ""1101"": 0.005859375, ""1110"": 0.0064697265625, ""1111"": 0.1180419921875}, ""3"": {""0000"": 0.0130615234375, ""0001"": 0.1163330078125, ""0010"": 0.1168212890625, ""0011"": 0.0123291015625, ""0100"": 0.0103759765625, ""0101"": 0.1099853515625, ""0110"": 0.112060546875, ""0111"": 0.0123291015625, ""1000"": 0.1168212890625, ""1001"": 0.0113525390625, ""1010"": 0.011474609375, ""1011"": 0.111572265625, ""1100"": 0.110107421875, ""1101"": 0.0128173828125, ""1110"": 0.012939453125, ""1111"": 0.109619140625}, ""5"": {""0000"": 0.0157470703125, ""0001"": 0.10791015625, ""0010"": 0.11083984375, ""0011"": 0.017578125, ""0100"": 0.0189208984375, ""0101"": 0.11669921875, ""0110"": 0.10791015625, ""0111"": 0.0150146484375, ""1000"": 0.1048583984375, ""1001"": 0.02099609375, ""1010"": 0.013916015625, ""1011"": 0.1033935546875, ""1100"": 0.106689453125, ""1101"": 0.0181884765625, ""1110"": 0.0167236328125, ""1111"": 0.1046142578125}}"
