circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,low,False,R1C1,256,1,1,0.96875,0.9650588542717738,0.06249999999999996,0.96875,0.03125,{}
contextuality-preserving,low,False,R1C2,256,1,2,0.96875,0.9662418660821938,0.05859374999999992,0.96875,0.03125,{}
contextuality-preserving,low,False,R1C3,256,1,3,0.9765625,0.9739946331025864,0.050781249999999944,0.9765625,0.0234375,{}
contextuality-preserving,low,False,R2C1,256,2,1,0.9453125,0.9405771426165092,0.08203124999999996,0.9453125,0.0546875,{}
contextuality-preserving,low,False,R2C2,256,2,2,0.94140625,0.9373334732702177,0.08203124999999989,0.94140625,0.05859375,{}
contextuality-preserving,low,False,R2C3,256,2,3,0.9453125,0.9403955134812796,0.07812499999999985,0.9453125,0.0546875,{}
contextuality-preserving,low,False,R3C1,256,3,1,0.94140625,0.9375546811049881,0.07812499999999994,0.94140625,0.05859375,{}
contextuality-preserving,low,False,R3C2,256,3,2,0.92578125,0.9222943593314774,0.08984374999999989,0.92578125,0.07421875,{}
contextuality-preserving,low,False,R3C3,256,3,3,0.93359375,0.92962405329283,0.08593749999999994,0.93359375,0.06640625,{}
baseline,low,False,R1C1,256,1,1,0.9609375,0.9570124953145802,0.07031249999999997,0.9609375,0.0390625,{}
baseline,low,False,R1C2,256,1,2,0.953125,0.9502066492315174,0.07031249999999996,0.953125,0.046875,{}
baseline,low,False,R1C3,256,1,3,0.96875,0.965780472800015,0.05468750000000007,0.96875,0.03125,{}
baseline,low,False,R2C1,256,2,1,0.92578125,0.9213467533314784,0.08593749999999994,0.92578125,0.07421875,{}
baseline,low,False,R2C2,256,2,2,0.9140625,0.9096437680517276,0.09765624999999989,0.9140625,0.0859375,{}
baseline,low,False,R2C3,256,2,3,0.93359375,0.9292551291023107,0.08203124999999964,0.93359375,0.06640625,{}
baseline,low,False,R3C1,256,3,1,0.93359375,0.9302912314672533,0.0781249999999998,0.93359375,0.06640625,{}
baseline,low,False,R3C2,256,3,2,0.91796875,0.9143621805968304,0.0898437499999998,0.91796875,0.08203125,{}
baseline,low,False,R3C3,256,3,3,0.91796875,0.9137973762840828,0.09374999999999989,0.91796875,0.08203125,{}
contextuality-preserving,low,True,R1C1,256,1,1,0.9710424710424708,0.9582194546640916,0.10279922779922772,0.9710424710424708,0.02895752895752895,"{""1"": {""0000"": 0.1171875, ""0001"": 0.1171875, ""0010"": 0.01171875, ""0011"": 0.0, ""0100"": 0.1328125, ""0101"": 0.08984375, ""0110"": 0.00390625, ""0111"": 0.00390625, ""1000"": 0.00390625, ""1001"": 0.00390625, ""1010"": 0.1328125, ""1011"": 0.1171875, ""1100"": 0.00390625, ""1101"": 0.0, ""1110"": 0.12109375, ""1111"": 0.140625}, ""3"": {""0000"": 0.140625, ""0001"": 0.15625, ""0010"": 0.0078125, ""0011"": 0.01171875, ""0100"": 0.1015625, ""0101"": 0.125, ""0110"": 0.0234375, ""0111"": 0.00390625, ""1000"": 0.0, ""1001"": 0.00390625, ""1010"": 0.0859375, ""1011"": 0.09375, ""1100"": 0.0078125, ""1101"": 0.0, ""1110"": 0.10546875, ""1111"": 0.1328125}}"
contextuality-preserving,low,True,R1C2,256,1,2,0.9807692307692307,0.9636940224259654,0.08653846153846145,0.9807692307692307,0.019230769230769232,"{""1"": {""0000"": 0.1171875, ""0001"": 0.01171875, ""0010"": 0.1171875, ""0011"": 0.0, ""0100"": 0.1328125, ""0101"": 0.0, ""0110"": 0.09765625, ""0111"": 0.0, ""1000"": 0.00390625, ""1001"": 0.12890625, ""1010"": 0.0078125, ""1011"": 0.1171875, ""1100"": 0.00390625, ""1101"": 0.1171875, ""1110"": 0.00390625, ""1111"": 0.140625}, ""3"": {""0000"": 0.10546875, ""0001"": 0.01171875, ""0010"": 0.1171875, ""0011"": 0.00390625, ""0100"": 0.109375, ""0101"": 0.0078125, ""0110"": 0.1796875, ""0111"": 0.01171875, ""1000"": 0.01953125, ""1001"": 0.109375, ""1010"": 0.0078125, ""1011"": 0.1015625, ""1100"": 0.01171875, ""1101"": 0.1015625, ""1110"": 0.01171875, ""1111"": 0.08984375}}"
contextuality-preserving,low,True,R1C3,256,1,3,0.9923076923076922,0.9885297758830257,0.051923076923076926,0.9923076923076922,0.0076923076923076945,"{""1"": {""0000"": 0.00390625, ""0001"": 0.125, ""0010"": 0.11328125, ""0011"": 0.00390625, ""0100"": 0.00390625, ""0101"": 0.12890625, ""0110"": 0.09765625, ""0111"": 0.0, ""1000"": 0.1328125, ""1001"": 0.0, ""1010"": 0.0078125, ""1011"": 0.1171875, ""1100"": 0.12109375, ""1101"": 0.0, ""1110"": 0.00390625, ""1111"": 0.140625}, ""3"": {""0000"": 0.0078125, ""0001"": 0.12109375, ""0010"": 0.109375, ""0011"": 0.015625, ""0100"": 0.01171875, ""0101"": 0.125, ""0110"": 0.0859375, ""0111"": 0.01171875, ""1000"": 0.12890625, ""1001"": 0.01171875, ""1010"": 0.015625, ""1011"": 0.11328125, ""1100"": 0.12890625, ""1101"": 0.00390625, ""1110"": 0.0078125, ""1111"": 0.1015625}}"
contextuality-preserving,low,True,R2C1,256,2,1,0.9613152804642164,0.9473242992082909,0.1182301740812379,0.9613152804642164,0.03868471953578336,"{""1"": {""0000"": 0.12109375, ""0001"": 0.11328125, ""0010"": 0.0078125, ""0011"": 0.00390625, ""0100"": 0.01171875, ""0101"": 0.0078125, ""0110"": 0.125, ""0111"": 0.0859375, ""1000"": 0.13671875, ""1001"": 0.1171875, ""1010"": 0.0, ""1011"": 0.00390625, ""1100"": 0.0078125, ""1101"": 0.01171875, ""1110"": 0.10546875, ""1111"": 0.140625}, ""3"": {""0000"": 0.1171875, ""0001"": 0.12890625, ""0010"": 0.0078125, ""0011"": 0.01953125, ""0100"": 0.015625, ""0101"": 0.0078125, ""0110"": 0.078125, ""0111"": 0.11328125, ""1000"": 0.12109375, ""1001"": 0.125, ""1010"": 0.01171875, ""1011"": 0.01171875, ""1100"": 0.0234375, ""1101"": 0.0078125, ""1110"": 0.12109375, ""1111"": 0.08984375}}"
contextuality-preserving,low,True,R2C2,256,2,2,0.9476744186046512,0.9387968210009141,0.1065891472868216,0.9476744186046512,0.05232558139534885,"{""1"": {""0000"": 0.1171875, ""0001"": 0.01171875, ""0010"": 0.11328125, ""0011"": 0.00390625, ""0100"": 0.015625, ""0101"": 0.1171875, ""0110"": 0.01171875, ""0111"": 0.0859375, ""1000"": 0.1328125, ""1001"": 0.0, ""1010"": 0.12109375, ""1011"": 0.00390625, ""1100"": 0.0078125, ""1101"": 0.11328125, ""1110"": 0.00390625, ""1111"": 0.140625}, ""3"": {""0000"": 0.125, ""0001"": 0.0234375, ""0010"": 0.1171875, ""0011"": 0.00390625, ""0100"": 0.0078125, ""0101"": 0.11328125, ""0110"": 0.0078125, ""0111"": 0.09765625, ""1000"": 0.09765625, ""1001"": 0.01171875, ""1010"": 0.12109375, ""1011"": 0.015625, ""1100"": 0.01171875, ""1101"": 0.1328125, ""1110"": 0.00390625, ""1111"": 0.109375}}"
contextuality-preserving,low,True,R2C3,256,2,3,0.9770992366412212,0.9698530242783419,0.07442748091603044,0.9770992366412212,0.022900763358778626,"{""1"": {""0000"": 0.0, ""0001"": 0.12890625, ""0010"": 0.109375, ""0011"": 0.0078125, ""0100"": 0.1171875, ""0101"": 0.015625, ""0110"": 0.01171875, ""0111"": 0.0859375, ""1000"": 0.00390625, ""1001"": 0.12890625, ""1010"": 0.12109375, ""1011"": 0.00390625, ""1100"": 0.1171875, ""1101"": 0.00390625, ""1110"": 0.00390625, ""1111"": 0.140625}, ""3"": {""0000"": 0.01953125, ""0001"": 0.1171875, ""0010"": 0.12109375, ""0011"": 0.015625, ""0100"": 0.0859375, ""0101"": 0.03125, ""0110"": 0.01171875, ""0111"": 0.08984375, ""1000"": 0.01171875, ""1001"": 0.08984375, ""1010"": 0.12109375, ""1011"": 0.01953125, ""1100"": 0.09765625, ""1101"": 0.015625, ""1110"": 0.02734375, ""1111"": 0.125}}"
contextuality-preserving,low,True,R3C1,256,3,1,0.9357976653696498,0.9284442556878125,0.0933852140077821,0.9357976653696498,0.06420233463035019,"{""1"": {""0000"": 0.1171875, ""0001"": 0.11328125, ""0010"": 0.01171875, ""0011"": 0.00390625, ""0100"": 0.01171875, ""0101"": 0.0078125, ""0110"": 0.125, ""0111"": 0.0859375, ""1000"": 0.00390625, ""1001"": 0.0078125, ""1010"": 0.1328125, ""1011"": 0.11328125, ""1100"": 0.1171875, ""1101"": 0.13671875, ""1110"": 0.01171875, ""1111"": 0.0}, ""3"": {""0000"": 0.1171875, ""0001"": 0.1015625, ""0010"": 0.00390625, ""0011"": 0.00390625, ""0100"": 0.00390625, ""0101"": 0.0078125, ""0110"": 0.12109375, ""0111"": 0.09765625, ""1000"": 0.01171875, ""1001"": 0.0078125, ""1010"": 0.14453125, ""1011"": 0.15625, ""1100"": 0.0859375, ""1101"": 0.12109375, ""1110"": 0.0078125, ""1111"": 0.0078125}}"
contextuality-preserving,low,True,R3C2,256,3,2,0.9494163424124513,0.9421207494817339,0.0963035019455252,0.9494163424124513,0.05058365758754863,"{""1"": {""0000"": 0.11328125, ""0001"": 0.015625, ""0010"": 0.11328125, ""0011"": 0.00390625, ""0100"": 0.015625, ""0101"": 0.1171875, ""0110"": 0.01171875, ""0111"": 0.0859375, ""1000"": 0.00390625, ""1001"": 0.12890625, ""1010"": 0.01171875, ""1011"": 0.11328125, ""1100"": 0.1171875, ""1101"": 0.00390625, ""1110"": 0.13671875, ""1111"": 0.0078125}, ""3"": {""0000"": 0.13671875, ""0001"": 0.0078125, ""0010"": 0.125, ""0011"": 0.01171875, ""0100"": 0.0234375, ""0101"": 0.11328125, ""0110"": 0.0234375, ""0111"": 0.08984375, ""1000"": 0.0, ""1001"": 0.0859375, ""1010"": 0.01953125, ""1011"": 0.09765625, ""1100"": 0.10546875, ""1101"": 0.015625, ""1110"": 0.1171875, ""1111"": 0.02734375}}"
contextuality-preserving,low,True,R3C3,256,3,3,0.9555984555984554,0.9429011265266976,0.10038610038610038,0.9555984555984554,0.0444015444015444,"{""1"": {""0000"": 0.00390625, ""0001"": 0.125, ""0010"": 0.109375, ""0011"": 0.0078125, ""0100"": 0.1171875, ""0101"": 0.015625, ""0110"": 0.01171875, ""0111"": 0.0859375, ""1000"": 0.1328125, ""1001"": 0.0, ""1010"": 0.01171875, ""1011"": 0.11328125, ""1100"": 0.0078125, ""1101"": 0.11328125, ""1110"": 0.13671875, ""1111"": 0.0078125}, ""3"": {""0000"": 0.015625, ""0001"": 0.08203125, ""0010"": 0.07421875, ""0011"": 0.01171875, ""0100"": 0.109375, ""0101"": 0.015625, ""0110"": 0.01171875, ""0111"": 0.12109375, ""1000"": 0.140625, ""1001"": 0.015625, ""1010"": 0.0234375, ""1011"": 0.14453125, ""1100"": 0.01171875, ""1101"": 0.10546875, ""1110"": 0.08984375, ""1111"": 0.02734375}}"
baseline,low,True,R1C1,256,1,1,0.975238095238095,0.9637114865166184,0.10880952380952377,0.975238095238095,0.02476190476190476,"{""1"": {""0000"": 0.1171875, ""0001"": 0.12109375, ""0010"": 0.0078125, ""0011"": 0.0, ""0100"": 0.1328125, ""0101"": 0.08984375, ""0110"": 0.00390625, ""0111"": 0.00390625, ""1000"": 0.00390625, ""1001"": 0.00390625, ""1010"": 0.1328125, ""1011"": 0.1171875, ""1100"": 0.00390625, ""1101"": 0.01171875, ""1110"": 0.109375, ""1111"": 0.140625}, ""3"": {""0000"": 0.14453125, ""0001"": 0.1171875, ""0010"": 0.00390625, ""0011"": 0.0234375, ""0100"": 0.0859375, ""0101"": 0.1015625, ""0110"": 0.015625, ""0111"": 0.0078125, ""1000"": 0.0234375, ""1001"": 0.01171875, ""1010"": 0.1015625, ""1011"": 0.125, ""1100"": 0.0234375, ""1101"": 0.0078125, ""1110"": 0.1171875, ""1111"": 0.08984375}}"
baseline,low,True,R1C2,256,1,2,0.9793233082706766,0.9726250974877859,0.06860902255639109,0.9793233082706766,0.020676691729323297,"{""1"": {""0000"": 0.1171875, ""0001"": 0.01171875, ""0010"": 0.1171875, ""0011"": 0.0, ""0100"": 0.1328125, ""0101"": 0.0, ""0110"": 0.09375, ""0111"": 0.00390625, ""1000"": 0.00390625, ""1001"": 0.12890625, ""1010"": 0.0078125, ""1011"": 0.1171875, ""1100"": 0.01171875, ""1101"": 0.109375, ""1110"": 0.0078125, ""1111"": 0.13671875}, ""3"": {""0000"": 0.08203125, ""0001"": 0.01953125, ""0010"": 0.0859375, ""0011"": 0.02734375, ""0100"": 0.11328125, ""0101"": 0.01953125, ""0110"": 0.109375, ""0111"": 0.02734375, ""1000"": 0.02734375, ""1001"": 0.09765625, ""1010"": 0.015625, ""1011"": 0.09375, ""1100"": 0.02734375, ""1101"": 0.12109375, ""1110"": 0.01171875, ""1111"": 0.12109375}}"
baseline,low,True,R1C3,256,1,3,0.9943396226415093,0.986161003297718,0.06839622641509444,0.9943396226415093,0.005660377358490566,"{""1"": {""0000"": 0.00390625, ""0001"": 0.125, ""0010"": 0.11328125, ""0011"": 0.00390625, ""0100"": 0.0078125, ""0101"": 0.125, ""0110"": 0.09375, ""0111"": 0.00390625, ""1000"": 0.1328125, ""1001"": 0.0, ""1010"": 0.0078125, ""1011"": 0.1171875, ""1100"": 0.12109375, ""1101"": 0.0, ""1110"": 0.00390625, ""1111"": 0.140625}, ""3"": {""0000"": 0.03515625, ""0001"": 0.11328125, ""0010"": 0.09375, ""0011"": 0.01953125, ""0100"": 0.01953125, ""0101"": 0.12109375, ""0110"": 0.109375, ""0111"": 0.0234375, ""1000"": 0.0625, ""1001"": 0.01171875, ""1010"": 0.015625, ""1011"": 0.10546875, ""1100"": 0.12890625, ""1101"": 0.015625, ""1110"": 0.01171875, ""1111"": 0.11328125}}"
baseline,low,True,R2C1,256,2,1,0.9481765834932822,0.9405398630909408,0.08373320537428017,0.9481765834932822,0.05182341650671784,"{""1"": {""0000"": 0.1171875, ""0001"": 0.11328125, ""0010"": 0.01171875, ""0011"": 0.00390625, ""0100"": 0.015625, ""0101"": 0.01171875, ""0110"": 0.12109375, ""0111"": 0.08203125, ""1000"": 0.125, ""1001"": 0.125, ""1010"": 0.00390625, ""1011"": 0.00390625, ""1100"": 0.015625, ""1101"": 0.0078125, ""1110"": 0.10546875, ""1111"": 0.13671875}, ""3"": {""0000"": 0.1328125, ""0001"": 0.09375, ""0010"": 0.01953125, ""0011"": 0.015625, ""0100"": 0.015625, ""0101"": 0.01953125, ""0110"": 0.0859375, ""0111"": 0.09765625, ""1000"": 0.10546875, ""1001"": 0.12109375, ""1010"": 0.03515625, ""1011"": 0.01953125, ""1100"": 0.0078125, ""1101"": 0.01953125, ""1110"": 0.08203125, ""1111"": 0.12890625}}"
