circuit_type,noise_level,mitigated,query_name,shots,row_index,column_index,win_probability,fidelity,trace_distance,success_probability,failure_probability,raw_scale_factor_dists
contextuality-preserving,hardware,False,R1C1,8192,1,1,0.9197998046875,0.9195577570502678,0.08020019531249982,0.9197998046875,0.0802001953125,{}
contextuality-preserving,hardware,False,R1C2,8192,1,2,0.8011474609375,0.8007833053736892,0.19885253906249978,0.8011474609375,0.1988525390625,{}
contextuality-preserving,hardware,False,R1C3,8192,1,3,0.80810546875,0.8078732200603115,0.19189453124999978,0.80810546875,0.19189453125,{}
contextuality-preserving,hardware,False,R2C1,8192,2,1,0.8284912109375,0.8281758143580727,0.1715087890624998,0.8284912109375,0.1715087890625,{}
contextuality-preserving,hardware,False,R2C2,8192,2,2,0.7867431640625,0.7863540058571126,0.21325683593749978,0.7867431640625,0.2132568359375,{}
contextuality-preserving,hardware,False,R2C3,8192,2,3,0.795654296875,0.7954270768332242,0.20434570312499978,0.795654296875,0.204345703125,{}
contextuality-preserving,hardware,False,R3C1,8192,3,1,0.810546875,0.8102149840302694,0.18945312499999978,0.810546875,0.189453125,{}
contextuality-preserving,hardware,False,R3C2,8192,3,2,0.773193359375,0.7729503929148996,0.22680664062499978,0.773193359375,0.226806640625,{}
contextuality-preserving,hardware,False,R3C3,8192,3,3,0.785400390625,0.7850127637428894,0.21459960937499978,0.785400390625,0.214599609375,{}
baseline,hardware,False,R1C1,8192,1,1,0.907470703125,0.9069932353781001,0.09252929687499972,0.907470703125,0.092529296875,{}
baseline,hardware,False,R1C2,8192,1,2,0.794677734375,0.794496355526437,0.20532226562499972,0.794677734375,0.205322265625,{}
baseline,hardware,False,R1C3,8192,1,3,0.796630859375,0.7962868517590933,0.2033691406249997,0.796630859375,0.203369140625,{}
baseline,hardware,False,R2C1,8192,2,1,0.7806396484375,0.7801910842678257,0.21936035156249967,0.7806396484375,0.2193603515625,{}
baseline,hardware,False,R2C2,8192,2,2,0.7474365234375,0.7471631080363668,0.2525634765624998,0.7474365234375,0.2525634765625,{}
baseline,hardware,False,R2C3,8192,2,3,0.7900390625,0.7896783699029998,0.2099609374999997,0.7900390625,0.2099609375,{}
baseline,hardware,False,R3C1,8192,3,1,0.7764892578125,0.7760306773123653,0.22351074218749958,0.7764892578125,0.2235107421875,{}
baseline,hardware,False,R3C2,8192,3,2,0.7530517578125,0.752740972341358,0.24694824218749958,0.7530517578125,0.2469482421875,{}
baseline,hardware,False,R3C3,8192,3,3,0.7840576171875,0.783792943754117,0.21594238281249958,0.7840576171875,0.2159423828125,{}
contextuality-preserving,hardware,True,R1C1,8192,1,1,0.9502441257247483,0.9486370986431173,0.06705065608788521,0.9502441257247483,0.04975587427525182,"{""1"": {""0000"": 0.111328125, ""0001"": 0.115966796875, ""0010"": 0.0107421875, ""0011"": 0.012939453125, ""0100"": 0.1153564453125, ""0101"": 0.107177734375, ""0110"": 0.012451171875, ""0111"": 0.0107421875, ""1000"": 0.0086669921875, ""1001"": 0.00830078125, ""1010"": 0.1180419921875, ""1011"": 0.1241455078125, ""1100"": 0.0128173828125, ""1101"": 0.011474609375, ""1110"": 0.115478515625, ""1111"": 0.1043701171875}, ""3"": {""0000"": 0.11474609375, ""0001"": 0.1087646484375, ""0010"": 0.016845703125, ""0011"": 0.01806640625, ""0100"": 0.1168212890625, ""0101"": 0.1024169921875, ""0110"": 0.01611328125, ""0111"": 0.0157470703125, ""1000"": 0.01953125, ""1001"": 0.0185546875, ""1010"": 0.110107421875, ""1011"": 0.1019287109375, ""1100"": 0.017822265625, ""1101"": 0.018798828125, ""1110"": 0.1092529296875, ""1111"": 0.094482421875}, ""5"": {""0000"": 0.116455078125, ""0001"": 0.108154296875, ""0010"": 0.0186767578125, ""0011"": 0.0184326171875, ""0100"": 0.1141357421875, ""0101"": 0.1009521484375, ""0110"": 0.02197265625, ""0111"": 0.0216064453125, ""1000"": 0.0216064453125, ""1001"": 0.021728515625, ""1010"": 0.1036376953125, ""1011"": 0.0985107421875, ""1100"": 0.020263671875, ""1101"": 0.0191650390625, ""1110"": 0.10009765625, ""1111"": 0.0946044921875}}"
contextuality-preserving,hardware,True,R1C2,8192,1,2,0.9054412841796877,0.9046795984593538,0.09515380859374979,0.9054412841796877,0.09455871582031268,"{""1"": {""0000"": 0.0999755859375, ""0001"": 0.0255126953125, ""0010"": 0.1015625, ""0011"": 0.0255126953125, ""0100"": 0.1011962890625, ""0101"": 0.025634765625, ""0110"": 0.105224609375, ""0111"": 0.0245361328125, ""1000"": 0.027099609375, ""1001"": 0.1019287109375, ""1010"": 0.0225830078125, ""1011"": 0.095703125, ""1100"": 0.0216064453125, ""1101"": 0.103759765625, ""1110"": 0.0242919921875, ""1111"": 0.0938720703125}, ""3"": {""0000"": 0.0877685546875, ""0001"": 0.0450439453125, ""0010"": 0.0855712890625, ""0011"": 0.0419921875, ""0100"": 0.0892333984375, ""0101"": 0.044189453125, ""0110"": 0.0899658203125, ""0111"": 0.0401611328125, ""1000"": 0.044189453125, ""1001"": 0.0767822265625, ""1010"": 0.042724609375, ""1011"": 0.076416015625, ""1100"": 0.0418701171875, ""1101"": 0.077392578125, ""1110"": 0.0394287109375, ""1111"": 0.0772705078125}, ""5"": {""0000"": 0.08056640625, ""0001"": 0.052490234375, ""0010"": 0.0748291015625, ""0011"": 0.049560546875, ""0100"": 0.0782470703125, ""0101"": 0.051513671875, ""0110"": 0.0716552734375, ""0111"": 0.046875, ""1000"": 0.047607421875, ""1001"": 0.0721435546875, ""1010"": 0.0509033203125, ""1011"": 0.07763671875, ""1100"": 0.0523681640625, ""1101"": 0.0740966796875, ""1110"": 0.0489501953125, ""1111"": 0.070556640625}}"
contextuality-preserving,hardware,True,R1C3,8192,1,3,0.898468017578125,0.8968378213708306,0.10266113281249985,0.898468017578125,0.10153198242187507,"{""1"": {""0000"": 0.02197265625, ""0001"": 0.095458984375, ""0010"": 0.09814453125, ""0011"": 0.0205078125, ""0100"": 0.0267333984375, ""0101"": 0.1033935546875, ""0110"": 0.1060791015625, ""0111"": 0.023193359375, ""1000"": 0.0972900390625, ""1001"": 0.02587890625, ""1010"": 0.0235595703125, ""1011"": 0.0989990234375, ""1100"": 0.106201171875, ""1101"": 0.0250244140625, ""1110"": 0.0205078125, ""1111"": 0.1070556640625}, ""3"": {""0000"": 0.044189453125, ""0001"": 0.08740234375, ""0010"": 0.085693359375, ""0011"": 0.0411376953125, ""0100"": 0.042724609375, ""0101"": 0.088623046875, ""0110"": 0.085205078125, ""0111"": 0.0330810546875, ""1000"": 0.090087890625, ""1001"": 0.0406494140625, ""1010"": 0.0406494140625, ""1011"": 0.076904296875, ""1100"": 0.0859375, ""1101"": 0.0338134765625, ""1110"": 0.04345703125, ""1111"": 0.0804443359375}, ""5"": {""0000"": 0.052734375, ""0001"": 0.080322265625, ""0010"": 0.080322265625, ""0011"": 0.049072265625, ""0100"": 0.0543212890625, ""0101"": 0.07763671875, ""0110"": 0.07666015625, ""0111"": 0.05029296875, ""1000"": 0.0751953125, ""1001"": 0.051513671875, ""1010"": 0.04736328125, ""1011"": 0.064453125, ""1100"": 0.07666015625, ""1101"": 0.046630859375, ""1110"": 0.047607421875, ""1111"": 0.0692138671875}}"
contextuality-preserving,hardware,True,R2C1,8192,2,1,0.9238891601562498,0.9215927069529658,0.08963012695312506,0.9238891601562498,0.07611083984375022,"{""1"": {""0000"": 0.1053466796875, ""0001"": 0.1043701171875, ""0010"": 0.0240478515625, ""0011"": 0.02001953125, ""0100"": 0.02099609375, ""0101"": 0.02392578125, ""0110"": 0.0987548828125, ""0111"": 0.1109619140625, ""1000"": 0.102294921875, ""1001"": 0.0966796875, ""1010"": 0.01953125, ""1011"": 0.025634765625, ""1100"": 0.0242919921875, ""1101"": 0.0223388671875, ""1110"": 0.0992431640625, ""1111"": 0.1015625}, ""3"": {""0000"": 0.0830078125, ""0001"": 0.0858154296875, ""0010"": 0.043701171875, ""0011"": 0.0406494140625, ""0100"": 0.042724609375, ""0101"": 0.0406494140625, ""0110"": 0.0911865234375, ""0111"": 0.07763671875, ""1000"": 0.092041015625, ""1001"": 0.0806884765625, ""1010"": 0.041259765625, ""1011"": 0.0391845703125, ""1100"": 0.0443115234375, ""1101"": 0.0401611328125, ""1110"": 0.079345703125, ""1111"": 0.07763671875}, ""5"": {""0000"": 0.0787353515625, ""0001"": 0.0755615234375, ""0010"": 0.05126953125, ""0011"": 0.049560546875, ""0100"": 0.05615234375, ""0101"": 0.049072265625, ""0110"": 0.0760498046875, ""0111"": 0.0733642578125, ""1000"": 0.0721435546875, ""1001"": 0.06884765625, ""1010"": 0.0504150390625, ""1011"": 0.049560546875, ""1100"": 0.0504150390625, ""1101"": 0.0513916015625, ""1110"": 0.07763671875, ""1111"": 0.06982421875}}"
contextuality-preserving,hardware,True,R2C2,8192,2,2,0.8724822998046875,0.8700913699750145,0.13398742675781236,0.8724822998046875,0.1275177001953126,"{""1"": {""0000"": 0.1036376953125, ""0001"": 0.0244140625, ""0010"": 0.105224609375, ""0011"": 0.0281982421875, ""0100"": 0.027587890625, ""0101"": 0.095458984375, ""0110"": 0.0250244140625, ""0111"": 0.0938720703125, ""1000"": 0.0941162109375, ""1001"": 0.025146484375, ""1010"": 0.0966796875, ""1011"": 0.024169921875, ""1100"": 0.03125, ""1101"": 0.103271484375, ""1110"": 0.0274658203125, ""1111"": 0.094482421875}, ""3"": {""0000"": 0.096435546875, ""0001"": 0.041259765625, ""0010"": 0.0792236328125, ""0011"": 0.0450439453125, ""0100"": 0.04638671875, ""0101"": 0.086669921875, ""0110"": 0.044189453125, ""0111"": 0.0823974609375, ""1000"": 0.085693359375, ""1001"": 0.041015625, ""1010"": 0.0787353515625, ""1011"": 0.0374755859375, ""1100"": 0.0455322265625, ""1101"": 0.072509765625, ""1110"": 0.0379638671875, ""1111"": 0.0794677734375}, ""5"": {""0000"": 0.07958984375, ""0001"": 0.0521240234375, ""0010"": 0.0745849609375, ""0011"": 0.0484619140625, ""0100"": 0.05224609375, ""0101"": 0.0816650390625, ""0110"": 0.0482177734375, ""0111"": 0.0728759765625, ""1000"": 0.0718994140625, ""1001"": 0.0479736328125, ""1010"": 0.0704345703125, ""1011"": 0.04931640625, ""1100"": 0.052001953125, ""1101"": 0.0726318359375, ""1110"": 0.052978515625, ""1111"": 0.072998046875}}"
contextuality-preserving,hardware,True,R2C3,8192,2,3,0.92205810546875,0.9215303043039238,0.07794189453124994,0.92205810546875,0.07794189453125021,"{""1"": {""0000"": 0.025390625, ""0001"": 0.099853515625, ""0010"": 0.0999755859375, ""0011"": 0.024169921875, ""0100"": 0.0986328125, ""0101"": 0.025146484375, ""0110"": 0.024658203125, ""0111"": 0.101806640625, ""1000"": 0.0247802734375, ""1001"": 0.101806640625, ""1010"": 0.0992431640625, ""1011"": 0.024169921875, ""1100"": 0.101318359375, ""1101"": 0.0247802734375, ""1110"": 0.024658203125, ""1111"": 0.099609375}, ""3"": {""0000"": 0.047607421875, ""0001"": 0.0814208984375, ""0010"": 0.087646484375, ""0011"": 0.042724609375, ""0100"": 0.085693359375, ""0101"": 0.0443115234375, ""0110"": 0.0438232421875, ""0111"": 0.08349609375, ""1000"": 0.0474853515625, ""1001"": 0.0762939453125, ""1010"": 0.078369140625, ""1011"": 0.040283203125, ""1100"": 0.0797119140625, ""1101"": 0.0430908203125, ""1110"": 0.0419921875, ""1111"": 0.0760498046875}, ""5"": {""0000"": 0.056884765625, ""0001"": 0.0767822265625, ""0010"": 0.07421875, ""0011"": 0.048095703125, ""0100"": 0.082275390625, ""0101"": 0.051025390625, ""0110"": 0.0465087890625, ""0111"": 0.0743408203125, ""1000"": 0.047119140625, ""1001"": 0.0738525390625, ""1010"": 0.0751953125, ""1011"": 0.045166015625, ""1100"": 0.07958984375, ""1101"": 0.0445556640625, ""1110"": 0.05078125, ""1111"": 0.0736083984375}}"
