circuit_type,noise_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,witness
contextuality-preserving,low,False,local_aer_noise_model,8192,[1],0.66046142578125,0.33953857421875,0.0,1.925537109375
baseline,low,False,local_aer_noise_model,8192,[1],0.6595255533854166,0.3404744466145833,0.0,1.914306640625
contextuality-preserving,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6621424357096354,0.33785756429036456,0.0,1.945709228515625
baseline,low,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6637064615885417,0.33629353841145826,0.0,1.9644775390625
contextuality-preserving,medium,False,local_aer_noise_model,8192,[1],0.6532796223958334,0.3467203776041667,0.0,1.83935546875
baseline,medium,False,local_aer_noise_model,8192,[1],0.6510823567708334,0.3489176432291667,0.0,1.81298828125
contextuality-preserving,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6568450927734375,0.3431549072265625,0.0,1.8821411132812496
baseline,medium,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6601282755533854,0.33987172444661456,0.0,1.921539306640625
contextuality-preserving,high,False,local_aer_noise_model,8192,[1],0.6414388020833334,0.3585611979166667,0.0,1.697265625
baseline,high,False,local_aer_noise_model,8192,[1],0.6353759765625,0.3646240234375,0.0,1.62451171875
contextuality-preserving,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6488037109375,0.3511962890625,0.0,1.78564453125
baseline,high,True,local_aer_noise_model,8192,"[1, 3, 5]",0.6455663045247396,0.35443369547526044,0.0,1.7467956542968748
