circuit_type,preservation_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,ibm_fez,8192,[1],0.7818010388331375,0.21773274739583254,0.0,0.7822672526041666
baseline,low,False,ibm_fez,8192,[1],0.7532861351752718,0.2463378906249988,0.0,0.753662109375
contextuality-preserving,low,True,ibm_fez,8192,"[1, 3, 5]",0.8779337895527767,0.12335476374262064,0.0,0.8794596351289063
baseline,low,True,ibm_fez,8192,"[1, 3, 5]",0.8750965312412814,0.12520514594183946,0.0,0.876795450846354
contextuality-preserving,medium,False,ibm_fez,8192,[1],0.8073512542288115,0.1923556857638885,0.0,0.8076443142361112
baseline,medium,False,ibm_fez,8192,[1],0.755847953802413,0.24373372395833234,0.0,0.7562662760416666
contextuality-preserving,medium,True,ibm_fez,8192,"[1, 3, 5]",0.8894094511355495,0.11119588216145807,0.013229370117187828,0.8903588189019097
baseline,medium,True,ibm_fez,8192,"[1, 3, 5]",0.8744894886468915,0.12810262044270765,0.0,0.8757137722439234
contextuality-preserving,high,False,ibm_fez,8192,[1],0.803505612462718,0.196221245659722,0.0,0.8037787543402778
baseline,high,False,ibm_fez,8192,[1],0.7796349529110737,0.21999782986111047,0.0,0.7800021701388888
contextuality-preserving,high,True,ibm_fez,8192,"[1, 3, 5]",0.8876714058550573,0.11424040644149243,0.0007107489797988361,0.8889678609977554
baseline,high,True,ibm_fez,8192,"[1, 3, 5]",0.8507250366621675,0.14970567491319392,0.0,0.8519354926215277
