circuit_type,preservation_level,mitigated,backend,shots_per_context,zne_scale_factors,fidelity,trace_distance,contextuality_violation,win_probability
contextuality-preserving,low,False,ibm_fez,8192,[1],0.781801,0.217733,0.0,0.782267
baseline,low,False,ibm_fez,8192,[1],0.753286,0.246338,0.0,0.753662
contextuality-preserving,low,True,ibm_fez,8192,"[1, 3, 5]",0.877934,0.123355,0.0,0.87946
baseline,low,True,ibm_fez,8192,"[1, 3, 5]",0.875097,0.125205,0.0,0.876795
contextuality-preserving,medium,False,ibm_fez,8192,[1],0.807351,0.192356,0.0,0.807644
baseline,medium,False,ibm_fez,8192,[1],0.755848,0.243734,0.0,0.756266
contextuality-preserving,medium,True,ibm_fez,8192,"[1, 3, 5]",0.889409,0.111196,0.013229,0.890359
baseline,medium,True,ibm_fez,8192,"[1, 3, 5]",0.874489,0.128103,0.0,0.875714
contextuality-preserving,high,False,ibm_fez,8192,[1],0.803506,0.196221,0.0,0.803779
baseline,high,False,ibm_fez,8192,[1],0.779635,0.219998,0.0,0.780002
contextuality-preserving,high,True,ibm_fez,8192,"[1, 3, 5]",0.887671,0.11424,0.000711,0.888968
baseline,high,True,ibm_fez,8192,"[1, 3, 5]",0.850725,0.149706,0.0,0.851935
