preservation_level,circuit_type,mitigated,win_probability,contextuality_violation,fidelity,trace_distance
high,baseline,False,0.780002,0.0,0.779635,0.219998
high,contextuality-preserving,False,0.803779,0.0,0.803506,0.196221
high,baseline,True,0.851935,0.0,0.850725,0.149706
high,contextuality-preserving,True,0.888968,0.000711,0.887671,0.11424
low,baseline,False,0.753662,0.0,0.753286,0.246338
low,contextuality-preserving,False,0.782267,0.0,0.781801,0.217733
low,baseline,True,0.876795,0.0,0.875097,0.125205
low,contextuality-preserving,True,0.87946,0.0,0.877934,0.123355
medium,baseline,False,0.756266,0.0,0.755848,0.243734
medium,contextuality-preserving,False,0.807644,0.0,0.807351,0.192356
medium,baseline,True,0.875714,0.0,0.874489,0.128103
medium,contextuality-preserving,True,0.890359,0.013229,0.889409,0.111196
